Week #,Day of Week,Backup Start Time - Hour of Day,Work-Flow-ID,File Name,Size of Backup (GB),Backup Time (hour)
1,Monday,1,work_flow_0,File_0,0,0
1,Monday,1,work_flow_2,File_12,0,0
1,Monday,1,work_flow_2,File_13,0,0
1,Monday,1,work_flow_2,File_14,0,0
1,Monday,1,work_flow_2,File_16,0,0
1,Monday,1,work_flow_2,File_17,0,0
1,Monday,1,work_flow_3,File_18,0,0
1,Monday,1,work_flow_3,File_19,0,0
1,Monday,1,work_flow_3,File_20,0,0
1,Monday,1,work_flow_3,File_21,0,0
1,Monday,1,work_flow_3,File_22,0,0
1,Monday,1,work_flow_3,File_23,0,0
1,Monday,1,work_flow_0,File_1,0.020160491483967802,1
1,Monday,1,work_flow_0,File_2,0.01911601162453842,1
1,Monday,1,work_flow_0,File_3,0.0193788085691496,1
1,Monday,1,work_flow_0,File_4,0.018992364205005684,1
1,Monday,1,work_flow_0,File_5,0.020483208833914461,1
1,Monday,1,work_flow_1,File_6,0.040971215571833509,1
1,Monday,1,work_flow_1,File_7,0.039234876581536848,1
1,Monday,1,work_flow_1,File_8,0.040813426322259892,1
1,Monday,1,work_flow_1,File_9,0.042345606989913027,1
1,Monday,1,work_flow_1,File_10,0.037703880808628978,1
1,Monday,1,work_flow_1,File_11,0.040916967884856832,1
1,Monday,1,work_flow_2,File_15,0.0021599213344685861,1
1,Monday,1,work_flow_4,File_24,0.018408685100319493,1
1,Monday,1,work_flow_4,File_25,0.020608348972997008,1
1,Monday,1,work_flow_4,File_26,0.020779303455292893,1
1,Monday,1,work_flow_4,File_27,0.020015080209658469,1
1,Monday,1,work_flow_4,File_28,0.021458775064862445,1
1,Monday,1,work_flow_4,File_29,0.019935554214046344,1
1,Monday,5,work_flow_2,File_12,0,0
1,Monday,5,work_flow_2,File_13,0,0
1,Monday,5,work_flow_2,File_14,0,0
1,Monday,5,work_flow_2,File_16,0,0
1,Monday,5,work_flow_2,File_17,0,0
1,Monday,5,work_flow_3,File_18,0,0
1,Monday,5,work_flow_3,File_19,0,0
1,Monday,5,work_flow_3,File_20,0,0
1,Monday,5,work_flow_3,File_21,0,0
1,Monday,5,work_flow_3,File_22,0,0
1,Monday,5,work_flow_3,File_23,0,0
1,Monday,5,work_flow_2,File_15,0,0
1,Monday,5,work_flow_0,File_0,0.080732043584725507,1
1,Monday,5,work_flow_0,File_1,0.07979242651009627,1
1,Monday,5,work_flow_0,File_2,0.042312931044409106,1
1,Monday,5,work_flow_0,File_3,0.084005172148426163,1
1,Monday,5,work_flow_0,File_4,0.078557788989096086,1
1,Monday,5,work_flow_0,File_5,0.079455868600023447,1
1,Monday,5,work_flow_1,File_6,0.15554156360600982,1
1,Monday,5,work_flow_1,File_7,0.15397382834032519,1
1,Monday,5,work_flow_1,File_8,0.15980206339001646,1
1,Monday,5,work_flow_1,File_9,0.15995065838694691,1
1,Monday,5,work_flow_1,File_10,0.16368452471905431,1
1,Monday,5,work_flow_1,File_11,0.1609182896246111,1
1,Monday,5,work_flow_4,File_24,0.061758281626989833,1
1,Monday,5,work_flow_4,File_25,0.064027500731252102,1
1,Monday,5,work_flow_4,File_26,0.080229034408515282,1
1,Monday,5,work_flow_4,File_27,0.080983995033472242,1
1,Monday,5,work_flow_4,File_28,0.06510050443667291,1
1,Monday,5,work_flow_4,File_29,0.080971034548113413,1
1,Monday,9,work_flow_2,File_12,0,0
1,Monday,9,work_flow_2,File_13,0,0
1,Monday,9,work_flow_2,File_14,0,0
1,Monday,9,work_flow_2,File_16,0,0
1,Monday,9,work_flow_2,File_17,0,0
1,Monday,9,work_flow_3,File_19,0,0
1,Monday,9,work_flow_3,File_20,0,0
